MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200929,South,71.83,28.17,18.56,12.16,6.27,1.66,9/29/2020,10/5/2020,1
20200929,Southeast,98.97,1.03,0,0,0,0,9/29/2020,10/5/2020,1
20200929,West,35.12,64.88,46.21,32.14,20.15,1.57,9/29/2020,10/5/2020,1
20200922,High Plains,19.03,80.97,54.13,34.44,15.05,0.08,9/22/2020,9/28/2020,1
20200922,Midwest,66.64,33.36,10.16,2.92,0,0,9/22/2020,9/28/2020,1
20200922,Northeast,42.13,57.87,36.67,21.91,2.7,0,9/22/2020,9/28/2020,1
20200922,South,69.11,30.89,18.71,10.98,5.12,0.39,9/22/2020,9/28/2020,1
20200922,Southeast,97.96,2.04,0,0,0,0,9/22/2020,9/28/2020,1
20200922,West,31.69,68.31,44.92,31.11,17.5,0.95,9/22/2020,9/28/2020,1
20200915,High Plains,24.52,75.48,52.42,32.95,14.13,0.08,9/15/2020,9/21/2020,1
